year,winner_name,loser_name
2005,Filippo Volandri,Wayne Arthurs
2005,Guillermo Canas,Igor Andreev
2005,Jiri Novak,Max Mirnyi
2005,Juan Carlos Ferrero,Ivo Karlovic
2005,Cyril Saulnier,Paradorn Srichaphan
2005,Marat Safin,Hyung Taik Lee
2005,Roger Federer,Albert Montanes
2005,Fernando Gonzalez,Mario Ancic
2005,Nikolay Davydenko,Albert Costa
2005,Richard Gasquet,Felix Mantilla
2005,Gaston Gaudio,Nicolas Kiefer
2005,Victor Hanescu,Radek Stepanek
2005,Rafael Nadal,Xavier Malisse
2005,Olivier Rochus,Tomas Berdych
2005,Guillermo Coria,Thierry Ascione
2005,Alberto Martin,Jean Rene Lisnard
2005,David Ferrer,Andreas Seppi
2005,Mariano Zabaleta,Fabrice Santoro
2005,Mariano Puerta,Florian Mayer
2005,Filippo Volandri,Guillermo Canas
2005,Juan Carlos Ferrero,Jiri Novak
2005,Marat Safin,Cyril Saulnier
2005,Roger Federer,Fernando Gonzalez
2005,Richard Gasquet,Nikolay Davydenko
2005,Gaston Gaudio,Victor Hanescu
2005,Rafael Nadal,Olivier Rochus
2005,Guillermo Coria,Alberto Martin
2005,David Ferrer,Mariano Zabaleta
2005,Filippo Volandri,Mariano Puerta
2005,Juan Carlos Ferrero,Marat Safin
2005,Richard Gasquet,Roger Federer
2005,Rafael Nadal,Gaston Gaudio
2005,Guillermo Coria,David Ferrer
2005,Juan Carlos Ferrero,Filippo Volandri
2005,Rafael Nadal,Richard Gasquet
2005,Guillermo Coria,Juan Carlos Ferrero
2005,Rafael Nadal,Guillermo Coria
2005,Giovanni Lapentti,Nicolas Mahut
2005,Brian Baker,Ivo Heuberger
2005,Nathan Healey,Gregory Carraz
2005,Ivo Karlovic,Kenneth Carlsen
2005,Wesley Moodie,Robert Smeets
2005,Paul Goldstein,Alejandro Falla
2005,Robby Ginepri,Kevin Kim
2005,Luis Horna,Mark Philippoussis
2005,Arnaud Clement,Nicolas Lapentti
2005,Gilles Muller,Davide Sanguinetti
2005,Jonas Bjorkman,Jeff Morrison
2005,James Blake,Jean Rene Lisnard
2005,Alexander Popp,Bjorn Phau
2005,Wayne Arthurs,Phillip Simmonds
2005,Bobby Reynolds,Alex Clayton
2005,Jan Hernych,Jamie Delgado
2005,Andy Roddick,Giovanni Lapentti
2005,Juan Ignacio Chela,Brian Baker
2005,Greg Rusedski,Nathan Healey
2005,Ivo Karlovic,Max Mirnyi
2005,Wesley Moodie,Tim Henman
2005,Paradorn Srichaphan,Paul Goldstein
2005,Robby Ginepri,Karol Beck
2005,Luis Horna,Dominik Hrbaty
2005,Arnaud Clement,Richard Bloomfield
2005,Gilles Muller,Nicolas Massu
2005,Tomas Zib,Jonas Bjorkman
2005,James Blake,Radek Stepanek
2005,Sebastien Grosjean,Alexander Popp
2005,Tomas Berdych,Wayne Arthurs
2005,Bobby Reynolds,Ricardo Mello
2005,Jan Hernych,Sebastien De Chaunac
2005,Andy Roddick,Juan Ignacio Chela
2005,Ivo Karlovic,Greg Rusedski
2005,Paradorn Srichaphan,Wesley Moodie
2005,Luis Horna,Robby Ginepri
2005,Arnaud Clement,Gilles Muller
2005,James Blake,Tomas Zib
2005,Tomas Berdych,Sebastien Grosjean
2005,Bobby Reynolds,Jan Hernych
2005,Andy Roddick,Ivo Karlovic
2005,Paradorn Srichaphan,Luis Horna
2005,James Blake,Arnaud Clement
2005,Tomas Berdych,Bobby Reynolds
2005,Andy Roddick,Paradorn Srichaphan
2005,James Blake,Tomas Berdych
2005,Andy Roddick,James Blake
2005,Tomas Zib,Rainer Schuettler
2005,Santiago Ventura,Hicham Arazi
2005,David Sanchez,Thierry Ascione
2005,Christophe Rochus,Mehdi Tahiri
